Date,Open,High,Low,Close,Adj Close,Volume
8/1/2018,358.089569,366.35318,333.298737,352.44278,344.596802,102712844
9/1/2018,355.335022,364.975891,307.727478,310.849274,305.881409,90189920
10/1/2018,311.262482,312.180634,254.197678,268.429443,264.139496,166385423
11/1/2018,269.026276,311.997009,263.838562,287.848907,283.248596,155482209
12/1/2018,290.603455,306.120667,258.9263,286.930725,284.657745,150017806
1/1/2019,290.09845,317.001068,270.403534,281.329865,279.101227,160567106
2/1/2019,280.13623,300.198425,268.88855,292.026642,289.713257,113610687
3/1/2019,291.797089,327.376495,277.381683,305.845215,303.422394,192871371
4/1/2019,306.579773,335.700012,305.432037,320.299988,317.762634,193528579
5/1/2019,320.299988,356,312.600006,348.799988,346.036865,178451656
6/1/2019,351.5,366.950012,334.299988,346.649994,343.903931,111958839
7/1/2019,347,371.149994,328.100006,337.600006,334.925598,121560904
8/1/2019,335,378.75,321.149994,346.799988,344.052734,208664921
9/1/2019,346.799988,374.899994,332.549988,367.049988,364.142303,128836961
10/1/2019,370,397,325.5,374.25,371.285278,317646700
11/1/2019,363.350006,455.649994,350.299988,442.450012,438.945007,444674465
12/1/2019,471.149994,485.600006,417.600006,455.799988,452.18924,296115647
1/1/2020,456.049988,527.349976,440.350006,496.450012,492.517273,468537601
2/1/2020,493.399994,568.849976,483.299988,523.5,519.352966,300709324
3/1/2020,534,536,361.75,440.899994,437.407288,340557115
4/1/2020,440,535.950012,412.399994,514.299988,510.2258,265947057
5/1/2020,514.299988,612,499.899994,552.599976,548.222412,534721958
6/1/2020,559,593.700012,537,559.849976,555.414978,479573160
7/1/2020,575,596.799988,543.049988,554.849976,550.45459,343070371
8/1/2020,554.5,565,508,513.099976,509.035309,526220032
9/1/2020,517.5,559,416.149994,420.950012,419.08725,705772629
10/1/2020,426,488,394,433.75,431.830597,501070366
11/1/2020,435,494.950012,435,463.25,461.200073,267087833
12/1/2020,467.75,527,460.5,509.700012,507.44455,364869418
1/1/2021,512.25,610.650024,508.200012,553.599976,551.150208,460706343
2/1/2021,559,623,549.200012,556.299988,553.838318,610708086
3/1/2021,558,559.099976,499.549988,517.299988,515.010864,385025031
4/1/2021,519.950012,550,514.549988,536.75,534.374817,177182738
5/1/2021,530,577,518.700012,534.900024,532.53302,250425314
6/1/2021,537.450012,551.5,519,525.650024,523.323975,176357711
7/1/2021,529,576.700012,520,561.650024,559.164673,233369938
8/1/2021,566,668.099976,560,664.049988,661.111511,448341705
9/1/2021,668,739.122986,648,688.299988,685.254211,501138815
10/1/2021,687.349976,714.650024,667.650024,685.349976,682.3172,211025300
11/1/2021,689.950012,781.799988,689.599976,728.25,725.027405,242955974
12/1/2021,733,737.400024,645.099976,683.799988,680.774109,183487949
1/1/2022,687.799988,754,677.349976,729.299988,726.072754,170109319
2/1/2022,733,735,645.450012,686.5,683.462158,124151162
3/1/2022,686.5,769.900024,639,754.950012,751.609253,151109715
4/1/2022,759.799988,780.700012,716.849976,739,735.729858,113046212
5/1/2022,734,742.950012,667.849976,700.200012,697.101563,175015440
6/1/2022,701.549988,706.200012,634.200012,684.950012,681.919006,135749771
7/1/2022,684.849976,696.599976,628.75,677.950012,674.950012,134664198
8/1/2022,677.950012,754.200012,677.049988,726.599976,723.384705,163666823
9/1/2022,726.5,809,686.200012,799.900024,799.900024,294986256
10/1/2022,803.400024,833.799988,759.849976,832,832,95573650
11/1/2022,828,860.549988,804.200012,848.75,848.75,121204841
12/1/2022,853,853.200012,760.099976,806.099976,806.099976,92554041
1/1/2023,806.25,826.099976,751.650024,770.299988,770.299988,144541778
2/1/2023,775.950012,795.849976,738.450012,742.25,742.25,90581909
3/1/2023,742.400024,795,735.799988,749,749,97472910
4/1/2023,755,802.049988,752.049988,799.299988,799.299988,70618011
5/1/2023,799.299988,888.75,773.650024,849.900024,849.900024,160476176
6/1/2023,837.950012,883,819,878.75,878.75,90699270
7/1/2023,880,896.650024,853.299988,883.650024,883.650024,94478707
7/26/2023,886.5,896.5,883.299988,889.400024,889.400024,2845147
